set FACILITIES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;
set CLIENTS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

param f :=
  1 7500
  2 7500
  3 7500
  4 7500
  5 7500
  6 7500
  7 7500
  8 7500
  9 7500
  10 7500
  11 0
  12 7500
  13 7500
  14 7500
  15 7500
  16 7500
;

param capacity :=
  1 5000
  2 5000
  3 5000
  4 5000
  5 5000
  6 5000
  7 5000
  8 5000
  9 5000
  10 5000
  11 5000
  12 5000
  13 5000
  14 5000
  15 5000
  16 5000
;

param d :=
  1 146
  2 87
  3 672
  4 1337
  5 31
  6 559
  7 2370
  8 1089
  9 33
  10 32
  11 549
  12 904
  13 1466
  14 143
  15 615
  16 564
  17 226
  18 3016
  19 253
  20 195
  21 38
  22 807
  23 551
  24 304
  25 814
;

param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 :=
1 6739.725 10355.05 7650.4 5219.5 5776.125 6641.175 4374.525 3847.1 6429.475 5396.525 5219.5 4182.9 7391.25 5038.825 10349.575 6051.7
2 3204.8625 5457.075 3845.4 2396.85 2628.4875 3220.0875 1838.9625 2266.35 3117.8625 2582.8125 2296.8 1779.15 5115.6 2189.1375 5399.4375 2838.375
3 4914 26409.6 19622.4 13876.8 9147.6 14977.2 21848.4 35330.4 15111.6 23679.6 9828 19303.2 57472.8 11180.4 22957.2 15489.6
4 32372.1125 29982.225 21024.325 29681.4 21275.0125 20071.7125 64292.9875 80186.575 25921.0875 69206.4625 23096.675 48700.225 135170.7 40527.8125 60515.9625 52911.775
5 1715.4625 2152.175 1577.9 1061.75 1250.4625 1363.6125 1524.0375 955.575 1318.6625 1789.0875 1133.05 1015.25 2005.7 1379.8875 2512.9375 1823.575
6 6421.5125 23701.6 16197.025 10383.425 7483.6125 12332.9375 15840.6625 27251.25 12444.7375 17769.2125 7029.425 13919.1 45474.65 6966.5375 20326.6375 10956.4
7 81972.375 28499.25 43134 65767.5 58805.625 48555.375 138615.375 155294.25 53176.875 147325.125 56998.5 102384 259515 96429.375 131920.125 118381.5
8 33391.4625 26544.375 6370.65 16770.6 13571.6625 8861.7375 51550.5375 57907.575 10985.2875 57376.6875 12741.3 33595.65 105796.35 32220.7875 60071.9625 46527.525
9 2020.8375 2480.775 1869.45 1324.95 1525.8375 1646.2875 1817.0625 1211.925 1593.4875 2099.2125 1395.9 1275.45 1940.4 1663.6125 2869.7625 2135.925
10 1459.6 1995.2 1402.4 869.6 1050.8 1181.2 1133.2 546.4 1134.8 1406.8 928.8 768.8 1950.4 1145.2 2314.8 1500.8
11 141015.4375 205925.125 104130.25 12638.5 46089.3125 66146.0625 198300.8125 220212.125 58178.3125 241573.9375 25277 97536.25 461992.125 106122.1875 288418.8125 185456.25
12 17684.5 32069.4 15322.8 8429.8 1231.7 9073.9 32781.3 41335.4 9254.7 37595.1 2463.4 19775 79235.6 16712.7 41956.9 28589
13 38207.625 42477.35 15319.7 15832.8 11526.425 5185.975 62653.175 71210.95 11563.075 70496.275 10371.95 38482.5 135275.15 36631.675 77569.725 55891.25
14 1953.7375 5044.325 4089.8 3428.425 2289.7875 3530.3125 5553.7625 8308.3 3558.9125 5947.0125 2434.575 4897.75 13134.55 3283.6375 4634.9875 4204.2
15 17181.5625 36054.375 25399.5 16297.5 15828.5625 21148.3125 7310.8125 21709.5 20779.3125 12569.0625 14621.625 11931 39913.5 11169.9375 32479.6875 14375.625
16 25640.85 35602.5 25154.4 15763.8 18421.65 21255.75 18478.05 8135.7 20437.95 23300.25 16271.4 12619.5 35094.9 19253.55 39867.75 24957
17 7031.425 10492.05 6305.4 2542.5 3918.275 4743.175 6856.275 7119 4415.475 8788.575 3062.3 2712 17458.5 5031.325 13093.875 8294.2
18 78453.7 92515.8 36644.4 27445.6 23562.5 23034.7 126332.7 141375 11423.1 144881.1 22846.2 74042.8 274079 75211.5 159433.3 114834.2
19 9452.7125 12441.275 7754.45 3542 5082.1375 6005.5875 10274.9625 10214.875 5638.7375 12438.1125 4123.9 5635.575 21789.625 8073.8625 16239.4375 11726.55
20 8597.0625 14113.125 10500.75 7254 7875.5625 9152.8125 5467.3125 6371.625 8870.0625 6729.9375 7312.5 5869.5 9506.25 6695.8125 13554.9375 7707.375
21 1581.275 2030.15 1326.2 693.5 924.825 1063.525 1628.775 1619.75 1008.425 1953.675 780.9 931.95 3066.6 1298.175 2600.625 1846.8
22 23170.9875 48702.45 36072.9 26166.975 23493.7875 30494.5125 14919.4125 33813.3 30655.9125 11166.8625 22333.725 20982 56025.975 17380.7625 40178.5125 15978.6
23 12087.5625 19877.325 9670.05 3801.9 2252.2125 5847.4875 19650.0375 23844.525 6260.7375 22873.3875 0 10703.175 46945.2 10145.2875 26881.9125 17728.425
24 4883 12851.6 10822.4 8930 6798.2 9435.4 11943.4 18148.8 9496.2 11616.6 7106 10898.4 28226.4 7117.4 7725.4 7911.6
25 24063.875 39682.5 24603.15 11050.05 13644.675 18976.375 20197.375 24684.55 17796.075 27157.075 10541.3 5270.65 59259.2 14845.325 44597.025 26495.7
;
